[2025-09-05 18:31:50,369: INFO: main: First Log]
[2025-09-08 16:58:33,519: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 16:58:33,524: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 16:59:36,349: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 16:59:36,353: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 17:00:55,743: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 17:00:55,746: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 17:03:48,193: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 17:03:48,194: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 17:04:54,369: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 17:04:54,371: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 17:05:20,354: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 17:05:20,356: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 17:07:37,332: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 17:07:37,336: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 17:07:37,338: INFO: common: Created directory at: artifacts]
[2025-09-08 18:22:08,766: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 18:22:08,769: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 18:22:08,771: INFO: common: Created directory at: artifacts]
[2025-09-08 18:24:44,147: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 18:24:44,150: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 18:24:44,152: INFO: common: Created directory at: artifacts]
[2025-09-08 18:24:44,154: INFO: common: Created directory at: artifacts/data_injestion]
[2025-09-08 18:24:44,157: INFO: 803732298: Downloading data from https://drive.google.com/file/d/1o3b5F60AKd245z__9mFBvC_CbsLLoH6S/view?usp=drive_link into artifacts/data_injestion/dataset.zip]
[2025-09-08 18:24:56,855: INFO: 803732298: Downloaded data from https://drive.google.com/file/d/1o3b5F60AKd245z__9mFBvC_CbsLLoH6S/view?usp=drive_link to artifacts/data_injestion/dataset.zip]
[2025-09-08 19:20:04,247: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 19:20:04,257: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 19:20:04,263: INFO: common: Created directory at: artifacts]
[2025-09-08 19:20:04,268: INFO: common: Created directory at: artifacts/data_injestion]
[2025-09-08 19:20:04,270: INFO: 803732298: Downloading data from https://drive.google.com/file/d/1o3b5F60AKd245z__9mFBvC_CbsLLoH6S/view?usp=drive_link into artifacts/data_injestion/dataset.zip]
[2025-09-08 19:20:18,409: INFO: 803732298: Downloaded data from https://drive.google.com/file/d/1o3b5F60AKd245z__9mFBvC_CbsLLoH6S/view?usp=drive_link to artifacts/data_injestion/dataset.zip]
[2025-09-08 19:23:23,733: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 19:23:23,735: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 19:23:23,735: INFO: common: Created directory at: artifacts]
[2025-09-08 19:23:23,744: INFO: common: Created directory at: artifacts/data_injestion]
[2025-09-08 19:23:23,744: INFO: 3104105583: Downloading data from https://drive.google.com/file/d/1o3b5F60AKd245z__9mFBvC_CbsLLoH6S/view?usp=drive_link into artifacts/data_injestion/dataset.zip]
[2025-09-08 19:23:30,766: INFO: 3104105583: Downloaded data from https://drive.google.com/file/d/1o3b5F60AKd245z__9mFBvC_CbsLLoH6S/view?usp=drive_link to artifacts/data_injestion/dataset.zip]
[2025-09-08 19:37:27,556: INFO: main: >>>>>>>> stage Data Injestion Stage started <<<<<<<]
[2025-09-08 19:37:27,559: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-08 19:37:27,560: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-08 19:37:27,561: INFO: common: Created directory at: artifacts]
[2025-09-08 19:37:27,563: INFO: common: Created directory at: artifacts/data_injestion]
[2025-09-08 19:37:27,564: INFO: data_injestion: Downloading data from https://drive.google.com/file/d/1o3b5F60AKd245z__9mFBvC_CbsLLoH6S/view?usp=drive_link into artifacts/data_injestion/dataset.zip]
[2025-09-08 19:37:36,616: INFO: data_injestion: Downloaded data from https://drive.google.com/file/d/1o3b5F60AKd245z__9mFBvC_CbsLLoH6S/view?usp=drive_link to artifacts/data_injestion/dataset.zip]
[2025-09-08 19:37:36,776: INFO: main: >>>>>>>> stage Data Injestion Stage ended <<<<<<<]
